global_index,batch,batch_index,image_path,label,angle_degrees,original_source,notes
1,batch_001,1,images/batch_001_001.jpg,head_right,88.730804,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001034\BEE24-33_001804_det21_tr0009.jpg,striped abdomen appears left; head/thorax to right
2,batch_001,2,images/batch_001_002.jpg,head_right,-18.779272,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000954\BEE24-33_001359_det21_tr0019.jpg,dark head side appears left; striped abdomen right
3,batch_001,3,images/batch_001_003.jpg,head_right,83.412346,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001366\BEE24-33_003162_det17_tr0011.jpg,small curled pose
4,batch_001,4,images/batch_001_004.jpg,unclear,-3.967041,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000054\BEE24-08_000067_det00_tr0035.jpg,"gray masked crop, head not clear"
5,batch_001,5,images/batch_001_005.jpg,head_left,98.03022,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001306\BEE24-33_002663_det34_tr0003.jpg,abdomen bands to right
6,batch_001,6,images/batch_001_006.jpg,head_right,111.063103,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001034\BEE24-33_001830_det14_tr0018.jpg,"head/legs appear left, abdomen right"
7,batch_001,7,images/batch_001_007.jpg,head_right,88.664612,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000081\BEE24-10_000158_det07_tr0025.jpg,"gray side view, ambiguous ends"
8,batch_001,8,images/batch_001_008.jpg,head_left,84.889465,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000053\BEE24-07_000050_det08_tr0008.jpg,"gray side view, ambiguous ends"
9,batch_001,9,images/batch_001_009.jpg,unclear,-9.46262,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000371\BEE24-24_000069_det05_tr0036.jpg,left protrusions look head-side
10,batch_001,10,images/batch_001_010.jpg,head_right,107.117012,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000836\BEE24-33_000311_det31_tr0001.jpg,body/abdomen extends right
11,batch_001,11,images/batch_001_011.jpg,head_left,23.057119,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000678\BEE24-33_000146_det28_tr0009.jpg,striped abdomen left; head likely right
12,batch_001,12,images/batch_001_012.jpg,head_left,75.910896,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000363\BEE24-24_000056_det01_tr0030.jpg,appendages/head-like detail on right
13,batch_001,13,images/batch_001_013.jpg,head_left,5.381208,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000522\BEE24-33_000105_det01_tr0018.jpg,head/legs appear left
14,batch_001,14,images/batch_001_014.jpg,unclear,-1.568142,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000380\BEE24-24_000067_det10_tr0007.jpg,abdomen bands appear right
15,batch_001,15,images/batch_001_015.jpg,unclear,10.922322,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000683\BEE24-33_000185_det16_tr0002.jpg,abdomen bands appear right
16,batch_001,16,images/batch_001_016.jpg,unclear,85.258415,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000123\BEE24-14_000338_det12_tr0037.jpg,"long gray crop, tentative"
17,batch_001,17,images/batch_001_017.jpg,head_left,-3.201912,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001116\BEE24-33_002055_det22_tr0015.jpg,head-like side left
18,batch_001,18,images/batch_001_018.jpg,head_right,3.230731,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001026\BEE24-33_000444_det33_tr0001.jpg,striped abdomen left; head likely right
19,batch_001,19,images/batch_001_019.jpg,unclear,46.267334,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000332\BEE24-23_000073_det00_tr0039.jpg,shape too soft
20,batch_001,20,images/batch_001_020.jpg,unclear,61.337437,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000039\BEE24-06_000028_det04_tr0014.jpg,right protrusion looks head/leg side
21,batch_001,21,images/batch_001_021.jpg,head_left,63.292423,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001082\BEE24-33_002041_det06_tr0019.jpg,striped abdomen left; head likely right
22,batch_001,22,images/batch_001_022.jpg,head_right,42.99926,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000051\BEE24-07_000020_det08_tr0000.jpg,top-view gray blob
23,batch_001,23,images/batch_001_023.jpg,head_left,86.366852,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000929\BEE24-33_000416_det16_tr0006.jpg,head side likely left; abdomen right
24,batch_001,24,images/batch_001_024.jpg,unclear,87.615013,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000505\BEE24-32_000020_det02_tr0010.jpg,gray crop ambiguous
25,batch_001,25,images/batch_001_025.jpg,head_left,10.034683,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000347\BEE24-23_000049_det06_tr0015.jpg,gray crop ambiguous
26,batch_001,26,images/batch_001_026.jpg,unclear,36.723938,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000441\BEE24-27_000033_det11_tr0002.jpg,curled gray crop
27,batch_001,27,images/batch_001_027.jpg,head_left,83.768578,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001256\BEE24-33_002822_det07_tr0015.jpg,"small head-like side to right, tentative"
28,batch_001,28,images/batch_001_028.jpg,head_left,2.923198,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000655\BEE24-33_000126_det30_tr0008.jpg,head side likely left; abdomen bands right
29,batch_001,29,images/batch_001_029.jpg,unclear,-24.704891,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001359\BEE24-33_002866_det27_tr0014.jpg,tiny crop
30,batch_001,30,images/batch_001_030.jpg,head_left,83.636581,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000095\BEE24-11_000037_det00_tr0019.jpg,top-view gray crop
31,batch_001,31,images/batch_001_031.jpg,unclear,58.463665,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000178\BEE24-15_000057_det11_tr0003.jpg,gray blob
32,batch_001,32,images/batch_001_032.jpg,unclear,55.855347,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000913\BEE24-33_000434_det10_tr0023.jpg,curled color crop
33,batch_001,33,images/batch_001_033.jpg,head_right,52.063629,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000507\BEE24-32_000031_det04_tr0016.jpg,head-like protrusion on right
34,batch_001,34,images/batch_001_034.jpg,unclear,85.305801,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000812\BEE24-33_000290_det21_tr0005.jpg,"color crop, head likely left"
35,batch_001,35,images/batch_001_035.jpg,head_right,0.051562,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000919\BEE24-33_001269_det21_tr0023.jpg,abdomen bands to right
36,batch_001,36,images/batch_001_036.jpg,unclear,72.291847,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000241\BEE24-18_000048_det06_tr0032.jpg,gray crop ambiguous
37,batch_001,37,images/batch_001_037.jpg,unclear,5.076053,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001029\BEE24-33_000476_det19_tr0015.jpg,"head likely left, tentative"
38,batch_001,38,images/batch_001_038.jpg,head_right,47.526562,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000276\BEE24-20_000020_det01_tr0015.jpg,abdomen bands left/center; head likely right
39,batch_001,39,images/batch_001_039.jpg,unclear,18.877604,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000394\BEE24-25_000017_det10_tr0012.jpg,left protrusions look head-side
40,batch_001,40,images/batch_001_040.jpg,head_left,96.076164,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000069\BEE24-09_000040_det05_tr0021.jpg,"rounded abdomen to right, tentative"
41,batch_001,41,images/batch_001_041.jpg,head_left,133.966934,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\000508\BEE24-32_000059_det04_tr0031.jpg,striped abdomen left; head side right
42,batch_001,42,images/batch_001_042.jpg,unclear,-26.594769,D:\personal_resources\CV_research\AutoDL\train_20260501_sam_mask_soft_v2\001027\BEE24-33_000468_det20_tr0016.jpg,small crop with background color
