global_index,image_path,label,angle_degrees,original_source,relative_path,dataset,source_index,notes
1,images/newmask_train400_0001.jpg,head_right,84.100945,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001034\BEE24-33_001804_det21_tr0009.jpg,001034/BEE24-33_001804_det21_tr0009.jpg,base300,1,
2,images/newmask_train400_0002.jpg,head_right,-20.625111,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000954\BEE24-33_001359_det21_tr0019.jpg,000954/BEE24-33_001359_det21_tr0019.jpg,base300,2,
3,images/newmask_train400_0003.jpg,head_left,98.967514,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001366\BEE24-33_003162_det17_tr0011.jpg,001366/BEE24-33_003162_det17_tr0011.jpg,base300,3,
4,images/newmask_train400_0004.jpg,unclear,3.843216,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000054\BEE24-08_000067_det00_tr0035.jpg,000054/BEE24-08_000067_det00_tr0035.jpg,base300,4,
5,images/newmask_train400_0005.jpg,head_left,101.974602,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001306\BEE24-33_002663_det34_tr0003.jpg,001306/BEE24-33_002663_det34_tr0003.jpg,base300,5,
6,images/newmask_train400_0006.jpg,head_right,124.894592,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001034\BEE24-33_001830_det14_tr0018.jpg,001034/BEE24-33_001830_det14_tr0018.jpg,base300,6,
7,images/newmask_train400_0007.jpg,head_right,61.400356,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000081\BEE24-10_000158_det07_tr0025.jpg,000081/BEE24-10_000158_det07_tr0025.jpg,base300,7,
8,images/newmask_train400_0008.jpg,head_left,83.393829,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000053\BEE24-07_000050_det08_tr0008.jpg,000053/BEE24-07_000050_det08_tr0008.jpg,base300,8,
9,images/newmask_train400_0009.jpg,unclear,6.837492,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000371\BEE24-24_000069_det05_tr0036.jpg,000371/BEE24-24_000069_det05_tr0036.jpg,base300,9,
10,images/newmask_train400_0010.jpg,head_right,82.759071,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000836\BEE24-33_000311_det31_tr0001.jpg,000836/BEE24-33_000311_det31_tr0001.jpg,base300,10,
11,images/newmask_train400_0011.jpg,head_left,25.435648,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000678\BEE24-33_000146_det28_tr0009.jpg,000678/BEE24-33_000146_det28_tr0009.jpg,base300,11,
12,images/newmask_train400_0012.jpg,head_left,78.038528,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000363\BEE24-24_000056_det01_tr0030.jpg,000363/BEE24-24_000056_det01_tr0030.jpg,base300,12,
13,images/newmask_train400_0013.jpg,head_left,-10.62119,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000522\BEE24-33_000105_det01_tr0018.jpg,000522/BEE24-33_000105_det01_tr0018.jpg,base300,13,
14,images/newmask_train400_0014.jpg,unclear,7.205484,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000380\BEE24-24_000067_det10_tr0007.jpg,000380/BEE24-24_000067_det10_tr0007.jpg,base300,14,
15,images/newmask_train400_0015.jpg,head_right,1.799699,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000683\BEE24-33_000185_det16_tr0002.jpg,000683/BEE24-33_000185_det16_tr0002.jpg,base300,15,
16,images/newmask_train400_0016.jpg,unclear,91.721222,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000123\BEE24-14_000338_det12_tr0037.jpg,000123/BEE24-14_000338_det12_tr0037.jpg,base300,16,
17,images/newmask_train400_0017.jpg,head_left,-3.162405,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001116\BEE24-33_002055_det22_tr0015.jpg,001116/BEE24-33_002055_det22_tr0015.jpg,base300,17,
18,images/newmask_train400_0018.jpg,head_right,1.386526,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001026\BEE24-33_000444_det33_tr0001.jpg,001026/BEE24-33_000444_det33_tr0001.jpg,base300,18,
19,images/newmask_train400_0019.jpg,head_left,47.102798,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000332\BEE24-23_000073_det00_tr0039.jpg,000332/BEE24-23_000073_det00_tr0039.jpg,base300,19,
20,images/newmask_train400_0020.jpg,head_right,71.246284,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000039\BEE24-06_000028_det04_tr0014.jpg,000039/BEE24-06_000028_det04_tr0014.jpg,base300,20,
21,images/newmask_train400_0021.jpg,head_left,62.978336,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001082\BEE24-33_002041_det06_tr0019.jpg,001082/BEE24-33_002041_det06_tr0019.jpg,base300,21,
22,images/newmask_train400_0022.jpg,head_right,40.555382,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000051\BEE24-07_000020_det08_tr0000.jpg,000051/BEE24-07_000020_det08_tr0000.jpg,base300,22,
23,images/newmask_train400_0023.jpg,head_left,88.628555,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000929\BEE24-33_000416_det16_tr0006.jpg,000929/BEE24-33_000416_det16_tr0006.jpg,base300,23,
24,images/newmask_train400_0024.jpg,unclear,85.709343,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000505\BEE24-32_000020_det02_tr0010.jpg,000505/BEE24-32_000020_det02_tr0010.jpg,base300,24,
25,images/newmask_train400_0025.jpg,head_left,9.305834,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000347\BEE24-23_000049_det06_tr0015.jpg,000347/BEE24-23_000049_det06_tr0015.jpg,base300,25,
26,images/newmask_train400_0026.jpg,unclear,26.32457,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000441\BEE24-27_000033_det11_tr0002.jpg,000441/BEE24-27_000033_det11_tr0002.jpg,base300,26,
27,images/newmask_train400_0027.jpg,head_left,71.422432,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001256\BEE24-33_002822_det07_tr0015.jpg,001256/BEE24-33_002822_det07_tr0015.jpg,base300,27,
28,images/newmask_train400_0028.jpg,head_left,16.015705,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000655\BEE24-33_000126_det30_tr0008.jpg,000655/BEE24-33_000126_det30_tr0008.jpg,base300,28,
29,images/newmask_train400_0029.jpg,unclear,-12.234669,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001359\BEE24-33_002866_det27_tr0014.jpg,001359/BEE24-33_002866_det27_tr0014.jpg,base300,29,
30,images/newmask_train400_0030.jpg,head_left,84.61232,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000095\BEE24-11_000037_det00_tr0019.jpg,000095/BEE24-11_000037_det00_tr0019.jpg,base300,30,
31,images/newmask_train400_0031.jpg,head_right,48.625271,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000178\BEE24-15_000057_det11_tr0003.jpg,000178/BEE24-15_000057_det11_tr0003.jpg,base300,31,
32,images/newmask_train400_0032.jpg,head_right,98.066216,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000913\BEE24-33_000434_det10_tr0023.jpg,000913/BEE24-33_000434_det10_tr0023.jpg,base300,32,
33,images/newmask_train400_0033.jpg,head_right,57.013725,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000507\BEE24-32_000031_det04_tr0016.jpg,000507/BEE24-32_000031_det04_tr0016.jpg,base300,33,
34,images/newmask_train400_0034.jpg,head_right,68.304878,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000812\BEE24-33_000290_det21_tr0005.jpg,000812/BEE24-33_000290_det21_tr0005.jpg,base300,34,
35,images/newmask_train400_0035.jpg,head_right,-3.408247,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000919\BEE24-33_001269_det21_tr0023.jpg,000919/BEE24-33_001269_det21_tr0023.jpg,base300,35,
36,images/newmask_train400_0036.jpg,unclear,108.907074,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000241\BEE24-18_000048_det06_tr0032.jpg,000241/BEE24-18_000048_det06_tr0032.jpg,base300,36,
37,images/newmask_train400_0037.jpg,head_left,12.590046,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001029\BEE24-33_000476_det19_tr0015.jpg,001029/BEE24-33_000476_det19_tr0015.jpg,base300,37,
38,images/newmask_train400_0038.jpg,head_right,46.183922,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000276\BEE24-20_000020_det01_tr0015.jpg,000276/BEE24-20_000020_det01_tr0015.jpg,base300,38,
39,images/newmask_train400_0039.jpg,unclear,-19.79369,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000394\BEE24-25_000017_det10_tr0012.jpg,000394/BEE24-25_000017_det10_tr0012.jpg,base300,39,
40,images/newmask_train400_0040.jpg,head_left,96.707512,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000069\BEE24-09_000040_det05_tr0021.jpg,000069/BEE24-09_000040_det05_tr0021.jpg,base300,40,
41,images/newmask_train400_0041.jpg,head_left,134.629471,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000508\BEE24-32_000059_det04_tr0031.jpg,000508/BEE24-32_000059_det04_tr0031.jpg,base300,41,
42,images/newmask_train400_0042.jpg,unclear,-28.735104,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\001027\BEE24-33_000468_det20_tr0016.jpg,001027/BEE24-33_000468_det20_tr0016.jpg,base300,42,
43,images/newmask_train400_0043.jpg,head_right,13.604573,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000472\BEE24-29_000017_det02_tr0008.jpg,000472/BEE24-29_000017_det02_tr0008.jpg,base300,43,
44,images/newmask_train400_0044.jpg,head_left,82.157326,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000053\BEE24-07_000066_det07_tr0021.jpg,000053/BEE24-07_000066_det07_tr0021.jpg,base300,44,
45,images/newmask_train400_0045.jpg,unclear,79.161247,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000354\BEE24-23_000063_det09_tr0001.jpg,000354/BEE24-23_000063_det09_tr0001.jpg,base300,45,
46,images/newmask_train400_0046.jpg,unclear,51.246029,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000460\BEE24-28_000009_det11_tr0006.jpg,000460/BEE24-28_000009_det11_tr0006.jpg,base300,46,
47,images/newmask_train400_0047.jpg,head_right,69.498444,D:\personal_resources\CV_research\boxmot\output\bee_foreground_new_model_labeled300\masked\000161\BEE24-15_000083_det01_tr0013.jpg,000161/BEE24-15_000083_det01_tr0013.jpg,base300,47,
