sample_id,filename,split,relative_path,source_image_path,image_sha256,mask_sha256,source_dataset,foreground_pixels,foreground_ratio
000017__BEE24-03_000004_det01_tr0001,000017__BEE24-03_000004_det01_tr0001.jpg,train,000017\BEE24-03_000004_det01_tr0001.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000017__BEE24-03_000004_det01_tr0001.jpg,26edb3772548890dc8d7aacf76a70fe85bf88ec9f0421bbaf109238202174e49,4c457c1397d096cd58f4b31876d222c43525c181a4bacdd28363449aa28a6b5e,v1_190,2896,0.599834
000024__BEE24-04_000044_det01_tr0023,000024__BEE24-04_000044_det01_tr0023.jpg,train,000024\BEE24-04_000044_det01_tr0023.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000024__BEE24-04_000044_det01_tr0023.jpg,1ffbe1d7956d7086b1d41cd1e751d8e2fea82e84795a86c9f4cdfd68102d5d77,9e597e6fd35e9b8a3bd8d20e2beaa32e029319c5a63e9e8461990dd102679620,v1_190,2193,0.458020
000024__BEE24-04_000073_det00_tr0039,000024__BEE24-04_000073_det00_tr0039.jpg,train,000024\BEE24-04_000073_det00_tr0039.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000024__BEE24-04_000073_det00_tr0039.jpg,b606aed7317d79d1247d43011057de1780ba350f8cc1655ae079fe29888c8d31,0f5561037ec453c84bbba8e40f5b06d267509e5e6f0f2f2d02a04ed6e41da82e,v1_190,2825,0.444812
000030__BEE24-05_000005_det00_tr0002,000030__BEE24-05_000005_det00_tr0002.jpg,train,000030\BEE24-05_000005_det00_tr0002.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000030__BEE24-05_000005_det00_tr0002.jpg,ef9c2318f4c588355b4a8e2941e8d4945006b17a01510c3048ef63503d9e0380,8a1770092f95ad18535a5757ad9b86d747b04453e67d89b2205316fc0b559d89,v1_190,2832,0.465025
000041__BEE24-06_000004_det06_tr0001,000041__BEE24-06_000004_det06_tr0001.jpg,train,000041\BEE24-06_000004_det06_tr0001.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000041__BEE24-06_000004_det06_tr0001.jpg,81c8b4bb704f378f74bce4de69ac46a6bc9513c55f103ce2499bc3ac7fb58cf4,ccf623d972e86d15ce502ae1c1fa1554beef843c46bf92d4a3ba6a58c93badb1,v1_190,2253,0.469375
000042__BEE24-06_000046_det07_tr0003,000042__BEE24-06_000046_det07_tr0003.jpg,train,000042\BEE24-06_000046_det07_tr0003.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000042__BEE24-06_000046_det07_tr0003.jpg,9930783b7a8acd260eacc5607547cc6fb59bc0664215bd03295c00101d4ff334,9be64d49aa2dd11e5cabb5e42faabc50d484bbecf29325f4bbfa2a8396a3c46d,v1_190,2231,0.457923
000047__BEE24-07_000034_det04_tr0017,000047__BEE24-07_000034_det04_tr0017.jpg,train,000047\BEE24-07_000034_det04_tr0017.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000047__BEE24-07_000034_det04_tr0017.jpg,3ab50e638d6fb2a62f3f56a12e40b7fd63ea9e5074439d66052b0e47d40b9b5f,5224ce026f53fe5bd7f01dfd88ede2a662934059c8f5495543b6bd42a1adbb84,v1_190,2745,0.557021
000054__BEE24-08_000035_det00_tr0018,000054__BEE24-08_000035_det00_tr0018.jpg,train,000054\BEE24-08_000035_det00_tr0018.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000054__BEE24-08_000035_det00_tr0018.jpg,d3f248fb2127af49b7c9daac25dc9d3a4b4bca94f14ec2bd5bf16215d0a5c489,b9a2a01b41b334a447f6d9c4c71fd622812470d67cf8a2e5d2b4b47181a657cd,v1_190,1840,0.375510
000077__BEE24-10_000036_det04_tr0005,000077__BEE24-10_000036_det04_tr0005.jpg,train,000077\BEE24-10_000036_det04_tr0005.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000077__BEE24-10_000036_det04_tr0005.jpg,03cba6bfc25fcb17cac84c177cea1f28c501a5d72160cef93013a46962180c13,ee4ca07184740c31c2d8a9a8393a272bfb3c7474805f1a384bfb062cf0106e10,v1_190,2168,0.555897
000082__BEE24-10_000035_det09_tr0013,000082__BEE24-10_000035_det09_tr0013.jpg,train,000082\BEE24-10_000035_det09_tr0013.jpg,D:\personal_resources\CV_research\boxmot\output\bee_foreground_cvat_200_complete_visible_20260515_01\images\000082__BEE24-10_000035_det09_tr0013.jpg,a95bda62ba2ea1f64cfb90d5eb362fa24a5bb3b30b5e6f96da28f78de91834d7,30bffb31c99f89f90caec0ee1da2e8277b3ef3bb34a6b4049d57df8ff5b69f11,v1_190,2802,0.564919
