epoch,lr,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,val_precision,val_recall
1,0.000300,0.934316,0.806184,0.590573,0.657138,0.742591,0.793100,0.723308,0.877800
2,0.000300,0.735867,0.763121,0.671535,0.672685,0.803495,0.804318,0.789426,0.819782
3,0.000299,0.681790,0.686898,0.690411,0.688836,0.816856,0.815752,0.769170,0.868340
4,0.000298,0.648032,0.680527,0.702155,0.697897,0.825019,0.822072,0.802281,0.842864
5,0.000297,0.658625,0.650056,0.697978,0.699901,0.822128,0.823461,0.788773,0.861340
6,0.000296,0.651316,0.648891,0.698186,0.703314,0.822273,0.825819,0.813021,0.839026
7,0.000294,0.628664,0.645119,0.713155,0.702877,0.832563,0.825517,0.863614,0.790639
8,0.000293,0.616981,0.614640,0.711529,0.710675,0.831454,0.830871,0.782585,0.885507
9,0.000291,0.601127,0.598223,0.718364,0.724199,0.836102,0.840041,0.852755,0.827700
10,0.000289,0.597944,0.682401,0.721666,0.706552,0.838334,0.828047,0.805687,0.851682
11,0.000286,0.584241,0.612450,0.727946,0.719228,0.842556,0.836687,0.800239,0.876614
12,0.000284,0.594128,0.586889,0.723323,0.725436,0.839451,0.840873,0.819184,0.863741
13,0.000281,0.568016,0.604269,0.735116,0.730898,0.847339,0.844530,0.840041,0.849067
14,0.000278,0.552946,0.566031,0.740440,0.738708,0.850866,0.849721,0.844378,0.855132
15,0.000275,0.554162,0.594864,0.738619,0.724637,0.849662,0.840335,0.803120,0.881167
16,0.000271,0.561992,0.590438,0.739265,0.729858,0.850089,0.843835,0.844731,0.842942
17,0.000268,0.549999,0.565708,0.741228,0.737058,0.851386,0.848628,0.819637,0.879745
18,0.000264,0.523544,0.559131,0.753494,0.745978,0.859420,0.854510,0.836774,0.873014
19,0.000260,0.534030,0.571438,0.750234,0.740449,0.857296,0.850871,0.859152,0.842748
20,0.000256,0.536542,0.560540,0.748105,0.732035,0.855904,0.845289,0.837152,0.853586
21,0.000252,0.531264,0.540949,0.750890,0.748819,0.857724,0.856371,0.860608,0.852175
22,0.000247,0.516123,0.558087,0.755959,0.736343,0.861021,0.848154,0.839422,0.857069
23,0.000243,0.493857,0.579390,0.767385,0.735497,0.868385,0.847593,0.821985,0.874847
24,0.000238,0.502589,0.537447,0.759997,0.744355,0.863634,0.853444,0.848329,0.858621
25,0.000233,0.515291,0.531605,0.756243,0.746277,0.861205,0.854707,0.831704,0.879018
26,0.000228,0.477596,0.588690,0.772944,0.728106,0.871933,0.842663,0.870370,0.816666
27,0.000223,0.482237,0.520626,0.769696,0.761664,0.869863,0.864710,0.856174,0.873418
28,0.000218,0.472789,0.582364,0.776594,0.724981,0.874251,0.840567,0.793350,0.893760
29,0.000213,0.454755,0.687232,0.784027,0.697199,0.878941,0.821588,0.892557,0.761073
30,0.000207,0.456212,0.567498,0.780930,0.732107,0.876991,0.845337,0.835046,0.855885
31,0.000202,0.475239,0.546304,0.774572,0.748318,0.872967,0.856043,0.860695,0.851442
32,0.000196,0.455973,0.512270,0.783730,0.759554,0.878754,0.863348,0.846163,0.881246
33,0.000191,0.434743,0.529565,0.792014,0.747120,0.883937,0.855259,0.834382,0.877207
34,0.000185,0.425777,0.512260,0.796419,0.757854,0.886674,0.862249,0.855851,0.868744
35,0.000179,0.412645,0.586914,0.800971,0.738183,0.889488,0.849373,0.879698,0.821069
36,0.000173,0.418159,0.543468,0.799775,0.756637,0.888750,0.861461,0.877020,0.846444
37,0.000168,0.429218,0.522831,0.792791,0.758099,0.884421,0.862408,0.847798,0.877530
38,0.000162,0.408703,0.505888,0.802695,0.764186,0.890550,0.866333,0.883267,0.850036
39,0.000156,0.395754,0.517536,0.810357,0.765173,0.895245,0.866967,0.853713,0.880638
40,0.000150,0.400444,0.518457,0.807588,0.768719,0.893553,0.869238,0.882147,0.856701
41,0.000144,0.409084,0.499893,0.803990,0.776487,0.891346,0.874183,0.873802,0.874563
42,0.000138,0.386771,0.507650,0.811935,0.766636,0.896208,0.867905,0.858184,0.877848
43,0.000132,0.382721,0.531978,0.815776,0.760640,0.898542,0.864050,0.878275,0.850278
44,0.000127,0.363118,0.527160,0.823332,0.764740,0.903107,0.866688,0.857774,0.875790
45,0.000121,0.356246,0.555636,0.827711,0.756489,0.905735,0.861365,0.859904,0.862830
46,0.000115,0.351027,0.566196,0.829337,0.755989,0.906708,0.861041,0.864098,0.858004
47,0.000109,0.368085,0.518384,0.821784,0.766919,0.902175,0.868086,0.854276,0.882350
48,0.000104,0.358656,0.554961,0.826656,0.755803,0.905103,0.860920,0.846145,0.876220
49,0.000098,0.364059,0.519664,0.823992,0.767405,0.903504,0.868397,0.877569,0.859415
50,0.000093,0.341365,0.557080,0.835283,0.756720,0.910250,0.861515,0.852979,0.870224
51,0.000087,0.339306,0.586750,0.835232,0.757920,0.910219,0.862292,0.875493,0.849483
52,0.000082,0.346696,0.536743,0.831717,0.761896,0.908128,0.864859,0.868113,0.861629
53,0.000077,0.330775,0.541367,0.840146,0.767207,0.913130,0.868271,0.859992,0.876711
54,0.000072,0.318240,0.539665,0.844470,0.766935,0.915678,0.868097,0.866067,0.870136
55,0.000067,0.325366,0.543332,0.842368,0.766942,0.914441,0.868101,0.860407,0.875933
56,0.000062,0.316423,0.548288,0.846294,0.767985,0.916749,0.868769,0.873757,0.863837
57,0.000057,0.304981,0.530997,0.850842,0.766992,0.919410,0.868133,0.864640,0.871654
58,0.000053,0.317142,0.551418,0.844622,0.764138,0.915767,0.866302,0.865850,0.866754
